Date/Time,Event,Session ID,Temp,Humidity,Methane - 12 bit ADC,
"March 11, 2021 at 08:02PM",ece477,101960,73.53789F,81.18%,710,
"March 11, 2021 at 08:02PM",ece477,101961,73.53789F,81.21%,710,
"March 11, 2021 at 08:02PM",ece477,101962,73.50588F,81.20%,715,
"March 11, 2021 at 08:03PM",ece477,101963,73.50588F,81.36%,714,
"March 11, 2021 at 08:03PM",ece477,101964,73.44186F,81.31%,718,
"March 11, 2021 at 08:03PM",ece477,101965,73.44186F,81.20%,715,
"March 11, 2021 at 08:03PM",ece477,101966,73.50588F,81.20%,713,
"March 11, 2021 at 08:03PM",ece477,101967,73.53789F,81.35%,700,
"March 11, 2021 at 08:03PM",ece477,101968,73.47388F,81.31%,717,
"March 11, 2021 at 08:03PM",ece477,101969,73.47388F,81.24%,709,
"March 11, 2021 at 08:03PM",ece477,101970,73.50588F,81.30%,710,
"March 11, 2021 at 08:03PM",ece477,101971,73.50588F,81.23%,715,
"March 11, 2021 at 08:03PM",ece477,101972,73.47388F,81.37%,715,
"March 11, 2021 at 08:04PM",ece477,101973,73.50588F,81.43%,713,
"March 11, 2021 at 08:04PM",ece477,101974,73.47388F,81.27%,715,
"March 11, 2021 at 08:04PM",ece477,101975,73.53789F,81.22%,709,
"March 11, 2021 at 08:04PM",ece477,101976,73.47388F,81.27%,714,
"March 11, 2021 at 08:04PM",ece477,101977,73.47388F,81.41%,710,
"March 11, 2021 at 08:04PM",ece477,101978,73.47388F,81.24%,714,
"March 11, 2021 at 08:04PM",ece477,101979,73.53789F,81.38%,715,
"March 11, 2021 at 08:04PM",ece477,101980,73.53789F,81.27%,717,
"March 11, 2021 at 08:04PM",ece477,101981,73.50588F,81.31%,709,
"March 11, 2021 at 08:04PM",ece477,101982,73.47388F,81.34%,720,
"March 11, 2021 at 08:05PM",ece477,101983,73.44186F,81.26%,709,
"March 11, 2021 at 08:05PM",ece477,101984,73.53789F,81.35%,714,
"March 11, 2021 at 08:05PM",ece477,101985,73.53789F,81.31%,710,
"March 11, 2021 at 08:05PM",ece477,101986,73.53789F,81.41%,716,
"March 11, 2021 at 08:05PM",ece477,101987,73.50588F,81.33%,714,
"March 11, 2021 at 08:05PM",ece477,101988,73.44186F,81.26%,718,
"March 11, 2021 at 08:05PM",ece477,101989,73.47388F,81.31%,714,
"March 11, 2021 at 08:05PM",ece477,101990,73.44186F,81.27%,713,
"March 11, 2021 at 08:05PM",ece477,101991,73.50588F,81.29%,715,
"March 11, 2021 at 08:05PM",ece477,101992,73.47388F,81.31%,714,
"March 11, 2021 at 08:06PM",ece477,101993,73.50588F,81.40%,709,
"March 11, 2021 at 08:06PM",ece477,101994,73.47388F,81.32%,714,
"March 11, 2021 at 08:06PM",ece477,101995,73.44186F,81.45%,734,
"March 11, 2021 at 08:06PM",ece477,101996,73.44186F,81.27%,711,
"March 11, 2021 at 08:06PM",ece477,101997,73.50588F,81.48%,713,
"March 11, 2021 at 08:06PM",ece477,101998,73.44186F,81.43%,711,
"March 11, 2021 at 08:06PM",ece477,101999,73.47388F,81.41%,710,
"March 11, 2021 at 08:06PM",ece477,102000,73.44186F,81.46%,702,
"March 11, 2021 at 08:06PM",ece477,102001,73.47388F,81.52%,711,
"March 11, 2021 at 08:06PM",ece477,102002,73.44186F,81.37%,717,
"March 11, 2021 at 08:07PM",ece477,102003,73.47388F,81.43%,710,
"March 11, 2021 at 08:07PM",ece477,102004,73.47388F,81.42%,717,
"March 11, 2021 at 08:07PM",ece477,102005,73.44186F,81.47%,706,
"March 11, 2021 at 08:07PM",ece477,102006,73.44186F,81.34%,709,
"March 11, 2021 at 08:07PM",ece477,102007,73.44186F,81.50%,705,
"March 11, 2021 at 08:07PM",ece477,102008,73.44186F,81.40%,712,
"March 11, 2021 at 08:07PM",ece477,102009,73.47388F,81.41%,711,
"March 11, 2021 at 08:07PM",ece477,102010,73.50588F,81.48%,706,
"March 11, 2021 at 08:07PM",ece477,102011,73.50588F,81.42%,714,
"March 11, 2021 at 08:07PM",ece477,102012,73.44186F,81.45%,710,
"March 11, 2021 at 08:08PM",ece477,102013,73.47388F,81.46%,709,
"March 11, 2021 at 08:08PM",ece477,102014,73.44186F,81.58%,719,
"March 11, 2021 at 08:08PM",ece477,102015,73.50588F,81.42%,692,
"March 11, 2021 at 08:08PM",ece477,102016,73.47388F,81.39%,711,
"March 11, 2021 at 08:08PM",ece477,102017,73.44186F,81.52%,709,
"March 11, 2021 at 08:08PM",ece477,102018,73.40985F,81.50%,713,
