Date/Time,Event,Session ID,Temp,Humidity,Methane - 12 bit ADC
"March 7, 2021 at 08:02PM",ece477,100000,70F,35%,120
"March 7, 2021 at 08:02PM",ece477,100001,70F,35%,120
"March 7, 2021 at 08:02PM",ece477,100002,70F,35%,120
"March 7, 2021 at 08:02PM",ece477,100003,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100004,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100005,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100006,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100007,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100008,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100009,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100010,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100011,70F,35%,120
"March 7, 2021 at 08:03PM",ece477,100012,70F,35%,120
"March 9, 2021 at 03:27PM",ece477,100000,70F,35%,4095
"March 9, 2021 at 03:27PM",ece477,100001,70F,35%,4095
"March 11, 2021 at 04:14PM",ece477,100000,106.3708F,131.19%,561
"March 11, 2021 at 04:14PM",ece477,100001,106.3695F,131.07%,560
"March 11, 2021 at 04:14PM",ece477,100000,106.3721F,131.13%,572
"March 11, 2021 at 04:14PM",ece477,100001,106.3708F,131.24%,561
"March 11, 2021 at 04:17PM",ece477,100000,106.3628F,131.31%,581
"March 11, 2021 at 04:27PM",ece477,100000,106.3334F,131.09%,620
"March 11, 2021 at 04:33PM",ece477,100000,106.3146F,131.02%,637
"March 11, 2021 at 04:33PM",ece477,100001,106.3173F,131.19%,638
"March 11, 2021 at 04:41PM",ece477,100000,28.25171F,61.46%,659
"March 11, 2021 at 04:41PM",ece477,100001,28.26949F,61.45%,656
"March 11, 2021 at 04:43PM",ece477,100000,83.01314F,61.46%,656
"March 11, 2021 at 04:44PM",ece477,100000,82.94911F,61.39%,656
"March 11, 2021 at 04:44PM",ece477,100001,83.04515F,61.32%,653
"March 11, 2021 at 04:44PM",ece477,100002,82.9171F,58.63%,521
"March 11, 2021 at 04:44PM",ece477,100003,82.78906F,54.65%,267
"March 11, 2021 at 04:44PM",ece477,100004,82.75705F,50.53%,195
"March 11, 2021 at 04:44PM",ece477,100005,82.629F,47.46%,186
"March 11, 2021 at 04:45PM",ece477,100006,82.46895F,45.34%,144
"March 11, 2021 at 04:45PM",ece477,100007,81.95678F,45.49%,241
"March 11, 2021 at 04:45PM",ece477,100008,82.0528F,44.04%,189
"March 11, 2021 at 04:45PM",ece477,100000,81.60465F,40.08%,176
"March 11, 2021 at 04:45PM",ece477,100001,81.54063F,39.60%,176
"March 11, 2021 at 04:45PM",ece477,100002,81.4446F,39.42%,179
"March 11, 2021 at 04:46PM",ece477,100003,81.31656F,39.09%,171
"March 11, 2021 at 04:46PM",ece477,100004,81.28454F,38.93%,175
"March 11, 2021 at 04:46PM",ece477,100000,80.77237F,38.28%,174
"March 11, 2021 at 04:46PM",ece477,100001,80.67634F,38.10%,165
"March 11, 2021 at 04:46PM",ece477,100002,80.5803F,38.19%,177
"March 11, 2021 at 04:47PM",ece477,100003,80.54829F,38.22%,166
"March 11, 2021 at 04:47PM",ece477,100004,80.35623F,38.07%,167
"March 11, 2021 at 04:47PM",ece477,100005,80.29221F,37.76%,170
"March 11, 2021 at 04:47PM",ece477,100006,80.13215F,37.66%,173
"March 11, 2021 at 04:47PM",ece477,100007,79.97209F,37.49%,167
"March 11, 2021 at 04:47PM",ece477,100008,79.97209F,37.62%,166
"March 11, 2021 at 04:47PM",ece477,100009,79.81205F,37.57%,162
"March 11, 2021 at 04:47PM",ece477,100010,79.68399F,37.44%,164
"March 11, 2021 at 04:47PM",ece477,100011,79.65199F,37.35%,170
"March 11, 2021 at 04:47PM",ece477,100012,79.65199F,37.57%,166
"March 11, 2021 at 04:48PM",ece477,100013,79.52394F,37.55%,164
"March 11, 2021 at 04:48PM",ece477,100014,79.3959F,37.44%,159
"March 11, 2021 at 04:48PM",ece477,100015,79.3959F,37.45%,160
"March 11, 2021 at 04:48PM",ece477,100016,79.29986F,37.39%,161
"March 11, 2021 at 04:48PM",ece477,100017,79.29986F,37.32%,162
"March 11, 2021 at 04:48PM",ece477,100018,79.17182F,37.31%,170
"March 11, 2021 at 04:48PM",ece477,100019,79.23584F,37.60%,162
"March 11, 2021 at 04:48PM",ece477,100020,79.13981F,37.39%,160
"March 11, 2021 at 04:48PM",ece477,100021,79.17182F,37.43%,161
"March 11, 2021 at 04:48PM",ece477,100022,79.20383F,37.27%,158
"March 11, 2021 at 04:49PM",ece477,100023,79.13981F,37.20%,169
"March 11, 2021 at 04:49PM",ece477,100024,79.07579F,37.21%,166
"March 11, 2021 at 04:49PM",ece477,100025,79.01176F,37.23%,169
"March 11, 2021 at 04:49PM",ece477,100026,79.01176F,37.26%,163
"March 11, 2021 at 04:49PM",ece477,100027,79.01176F,37.52%,164
"March 11, 2021 at 04:49PM",ece477,100028,78.85171F,37.39%,167
"March 11, 2021 at 04:49PM",ece477,100029,78.88372F,37.37%,156
"March 11, 2021 at 04:49PM",ece477,100030,77.73132F,42.33%,181
"March 11, 2021 at 04:49PM",ece477,100031,82.66101F,56.11%,179
"March 11, 2021 at 04:49PM",ece477,100032,79.07579F,49.99%,169
"March 11, 2021 at 04:50PM",ece477,100033,78.91573F,47.03%,165
"March 11, 2021 at 04:50PM",ece477,100034,78.65964F,44.83%,161
"March 11, 2021 at 04:50PM",ece477,100035,78.56361F,43.29%,160
"March 11, 2021 at 04:50PM",ece477,100036,78.5316F,41.96%,166
"March 11, 2021 at 04:50PM",ece477,100037,78.33954F,40.24%,146
"March 11, 2021 at 04:50PM",ece477,100038,78.30753F,39.67%,164
"March 11, 2021 at 04:50PM",ece477,100039,78.17948F,39.13%,163
"March 11, 2021 at 04:50PM",ece477,100040,78.2435F,38.82%,161
"March 11, 2021 at 04:50PM",ece477,100041,78.14747F,38.75%,161
"March 11, 2021 at 04:50PM",ece477,100042,78.01942F,38.55%,167
"March 11, 2021 at 04:51PM",ece477,100043,78.05144F,38.23%,160
"March 11, 2021 at 04:51PM",ece477,100044,77.95541F,38.10%,162
"March 11, 2021 at 04:51PM",ece477,100045,77.92339F,37.93%,159
"March 11, 2021 at 04:51PM",ece477,100046,77.89138F,38.13%,159
"March 11, 2021 at 04:51PM",ece477,100047,77.82736F,38.15%,156
"March 11, 2021 at 04:51PM",ece477,100048,77.60329F,37.30%,198
"March 11, 2021 at 04:51PM",ece477,100049,77.57127F,37.13%,165
"March 11, 2021 at 04:51PM",ece477,100050,77.44323F,37.38%,161
"March 11, 2021 at 04:51PM",ece477,100051,77.47524F,37.51%,167
"March 11, 2021 at 04:51PM",ece477,100052,77.3472F,37.60%,172
"March 11, 2021 at 04:52PM",ece477,100053,77.28317F,37.82%,164
"March 11, 2021 at 04:52PM",ece477,100054,77.25116F,37.78%,165
"March 11, 2021 at 04:52PM",ece477,100055,77.21915F,38.00%,166
"March 11, 2021 at 04:52PM",ece477,100056,77.25116F,38.01%,156
"March 11, 2021 at 04:52PM",ece477,100057,77.15513F,38.01%,160
"March 11, 2021 at 04:52PM",ece477,100058,77.12312F,38.20%,130
"March 11, 2021 at 04:52PM",ece477,100059,77.12312F,38.04%,162
"March 11, 2021 at 04:52PM",ece477,100060,77.18714F,38.09%,163
"March 11, 2021 at 04:52PM",ece477,100061,77.09111F,38.16%,160
"March 11, 2021 at 04:52PM",ece477,100062,77.02709F,38.20%,161
"March 11, 2021 at 04:53PM",ece477,100063,77.02709F,38.05%,162
"March 11, 2021 at 04:53PM",ece477,100064,77.02709F,38.07%,158
"March 11, 2021 at 04:53PM",ece477,100065,76.96307F,38.07%,171
"March 11, 2021 at 04:53PM",ece477,100066,76.83502F,38.04%,150
"March 11, 2021 at 04:53PM",ece477,100067,76.83502F,38.08%,170
"March 11, 2021 at 04:53PM",ece477,100068,76.80301F,37.95%,163
"March 11, 2021 at 04:53PM",ece477,100069,76.70698F,38.07%,164
"March 11, 2021 at 04:53PM",ece477,100070,76.61095F,38.05%,151
"March 11, 2021 at 04:53PM",ece477,100071,76.54692F,37.95%,163
"March 11, 2021 at 04:53PM",ece477,100072,76.57894F,38.03%,161
"March 11, 2021 at 04:54PM",ece477,100073,76.54692F,38.20%,158
"March 11, 2021 at 04:54PM",ece477,100074,76.54692F,38.25%,159
"March 11, 2021 at 04:54PM",ece477,100075,76.45089F,38.31%,159
"March 11, 2021 at 04:54PM",ece477,100076,76.41888F,38.21%,158
"March 11, 2021 at 04:54PM",ece477,100077,76.41888F,38.68%,179
"March 11, 2021 at 04:54PM",ece477,100078,76.4829F,39.43%,215
"March 11, 2021 at 04:54PM",ece477,100079,76.54692F,41.76%,270
"March 11, 2021 at 04:54PM",ece477,100080,76.64295F,43.80%,342
"March 11, 2021 at 04:54PM",ece477,100081,76.73899F,45.22%,333
"March 11, 2021 at 04:54PM",ece477,100082,76.771F,44.90%,326
"March 11, 2021 at 04:55PM",ece477,100083,76.89904F,45.18%,258
"March 11, 2021 at 04:55PM",ece477,100084,76.96307F,44.53%,243
"March 11, 2021 at 04:55PM",ece477,100085,76.93105F,44.08%,236
"March 11, 2021 at 04:55PM",ece477,100086,77.0591F,43.29%,199
"March 11, 2021 at 04:55PM",ece477,100087,77.02709F,42.53%,155
"March 11, 2021 at 04:55PM",ece477,100088,77.0591F,41.86%,218
"March 11, 2021 at 04:55PM",ece477,100089,77.12312F,41.41%,233
"March 11, 2021 at 04:55PM",ece477,100090,77.18714F,41.20%,229
"March 11, 2021 at 04:55PM",ece477,100091,77.25116F,42.56%,275
"March 11, 2021 at 04:55PM",ece477,100092,77.31519F,43.85%,274
"March 11, 2021 at 04:56PM",ece477,100093,77.3472F,44.81%,285
"March 11, 2021 at 04:56PM",ece477,100094,77.3472F,45.32%,274
"March 11, 2021 at 04:56PM",ece477,100095,77.41122F,45.57%,292
"March 11, 2021 at 04:56PM",ece477,100096,77.47524F,45.92%,304
"March 11, 2021 at 04:56PM",ece477,100097,77.50725F,46.15%,303
"March 11, 2021 at 04:56PM",ece477,100098,77.57127F,46.35%,305
"March 11, 2021 at 04:56PM",ece477,100099,77.57127F,46.57%,306
"March 11, 2021 at 04:56PM",ece477,100100,77.57127F,46.82%,314
"March 11, 2021 at 04:56PM",ece477,100101,77.60329F,47.13%,317
"March 11, 2021 at 04:56PM",ece477,100102,77.63529F,47.36%,320
"March 11, 2021 at 04:57PM",ece477,100103,77.66731F,47.77%,331
"March 11, 2021 at 04:57PM",ece477,100104,77.66731F,48.04%,338
"March 11, 2021 at 04:57PM",ece477,100105,77.73132F,48.37%,345
"March 11, 2021 at 04:57PM",ece477,100106,77.66731F,48.33%,344
"March 11, 2021 at 04:57PM",ece477,100107,77.63529F,48.79%,353
"March 11, 2021 at 04:57PM",ece477,100108,77.66731F,48.96%,362
"March 11, 2021 at 04:57PM",ece477,100109,77.73132F,49.40%,368
"March 11, 2021 at 04:57PM",ece477,100110,77.66731F,49.61%,368
"March 11, 2021 at 04:57PM",ece477,100111,77.69931F,49.93%,368
"March 11, 2021 at 04:57PM",ece477,100112,77.69931F,50.28%,373
"March 11, 2021 at 04:58PM",ece477,100113,77.69931F,50.57%,384
"March 11, 2021 at 04:58PM",ece477,100114,77.76334F,50.73%,393
"March 11, 2021 at 04:58PM",ece477,100115,77.76334F,51.27%,395
"March 11, 2021 at 04:58PM",ece477,100116,77.73132F,51.29%,381
"March 11, 2021 at 04:58PM",ece477,100117,77.69931F,51.58%,389
"March 11, 2021 at 04:58PM",ece477,100118,77.69931F,51.88%,398
"March 11, 2021 at 04:58PM",ece477,100119,77.60329F,52.03%,404
